Name,Sport,Age,Height,Weight,Sex
Maharu Yoshimura,Table Tennis,23.0,177.0,61.0,M
Vitalija Tuomait,Basketball,23.0,193.0,87.0,F
Katerine Savard,Swimming,23.0,167.0,54.0,F
Kenji Shimaoka,Volleyball,23.0,184.0,78.0,M
Leslie Savage,Swimming,23.0,,,M
Emiliya Khalsberiyevna Turey,Handball,23.0,175.0,61.0,F
Sabin William Carr,Athletics,23.0,185.0,76.0,M
Lyudmila Ivanovna Turishcheva (-Borzova),Gymnastics,23.0,160.0,52.0,F
"William Kenneth ""Ken"" Carpenter",Athletics,23.0,190.0,102.0,M
Suzannah Bianco,Synchronized Swimming,23.0,165.0,52.0,F
Rinat Fayzrakhmanovich Dasayev,Football,23.0,190.0,74.0,M
Boris Nikitich Popov,Water Polo,23.0,181.0,79.0,M
"Stefanie Maria ""Steffi"" Graf",Tennis,23.0,175.0,59.0,F
Max Streib,Handball,23.0,,,M
"Robert Ide ""Bob"" Will",Rowing,23.0,,,M
"Mary Patricia ""Patsy"" Willard (-Heckel)",Diving,23.0,170.0,59.0,F
Louis Bernard Strebler,Wrestling,23.0,,,M
Herman Ponsteen,Cycling,23.0,181.0,86.0,M
"Jacobus Matheus ""Ko"" Willems",Cycling,23.0,,,M
Miguel ngel Angulo Valderrey,Football,23.0,175.0,70.0,M
Ercole Baldini,Cycling,23.0,,,M
Joachim Spremberg,Rowing,23.0,,,M
Bertrand ric Hugues Damaisin,Judo,23.0,173.0,77.0,M
Louis James Balbach,Diving,23.0,169.0,,M
Lucinda Williams (-Adams),Athletics,23.0,166.0,51.0,F
Roberto Balado Mndez,Boxing,23.0,171.0,91.0,M
"Ani Stoyanova ""Anka"" Bakova",Rowing,23.0,175.0,75.0,F
Mats Grambusch,Hockey,23.0,177.0,74.0,M
Miguel ngel Ponce Briseo,Football,23.0,176.0,82.0,M
Nataliya Vladimirovna Pomoshchnikova-Voronova,Athletics,23.0,169.0,63.0,F
Billy Pierre Bakker,Hockey,23.0,188.0,82.0,M
Daniel Ballart Sans,Water Polo,23.0,178.0,73.0,M
Yvette Winifred Williams (-Corlett),Athletics,23.0,176.0,65.0,F
"Stephen Bradley ""Brad"" Wilkerson",Baseball,23.0,180.0,86.0,M
Elbieta Porzec-Nowak,Volleyball,23.0,175.0,62.0,F
Hans Bnninger,Ice Hockey,23.0,,,M
"Pieter ""Piet"" Wijdekop",Canoeing,23.0,,,M
Bang Su-Hyeon,Badminton,23.0,,,F
Carl Albert Andersen,Athletics,23.0,,,M
Manuel trlek,Handball,23.0,182.0,82.0,M
Natalie Porter,Basketball,23.0,185.0,91.0,F
Ute Wild (-Ntzel),Rowing,23.0,180.0,81.0,F
Barry Dancer,Hockey,23.0,178.0,67.0,M
John Hugh Cooper,Athletics,23.0,188.0,85.0,M
Giorgio Bambini,Boxing,23.0,192.0,81.0,M
Mircea Grabovschi,Handball,23.0,196.0,92.0,M
Igor Vladimirovich Grabovsky,Water Polo,23.0,190.0,88.0,M
Leandro Damio da Silva dos Santos,Football,23.0,187.0,84.0,M
Enrico Porro,Wrestling,23.0,,,M
"Benjamin Marshall ""Ben"" Wildman-Tobriner",Swimming,23.0,193.0,91.0,M
Arthur Espie Porritt,Athletics,23.0,171.0,64.0,M
Uta Poreceanu-Schlandt,Gymnastics,23.0,156.0,54.0,F
Jean Graczyk,Cycling,23.0,,,M
Margaret Joyce Cooper (-Badcock),Swimming,23.0,169.0,,F
Anna-Maria Gradante,Judo,23.0,154.0,48.0,F
George Ellsworth Wiley,Cycling,23.0,163.0,,M
Natalie Marie Spooner,Ice Hockey,23.0,178.0,80.0,F
Semyon Andreyevich Yelistratov,Short Track Speed Skating,23.0,175.0,70.0,M
Francesca Pomeri,Water Polo,23.0,174.0,76.0,F
Annegret Strauch (-Hmisch),Rowing,23.0,184.0,77.0,F
Rodolphe Joseph (-Rudolph) Poma,Rowing,23.0,168.0,70.0,M
Ji Pokorn,Cycling,23.0,182.0,79.0,M
"Charles James Bacon, Jr.",Athletics,23.0,183.0,77.0,M
Volker Winkler,Cycling,23.0,184.0,75.0,M
Hans-Peter Pohl,Nordic Combined,23.0,174.0,68.0,M
Alison Gregorka,Water Polo,23.0,178.0,73.0,F
"Leonard Stuart ""Leon"" Gregory",Athletics,23.0,,,M
Laurent Daignault,Short Track Speed Skating,23.0,168.0,64.0,M
"Edward Charles ""Ed"" Podivinsky",Alpine Skiing,23.0,184.0,95.0,M
"John Arthur ""Jack"" Winter",Athletics,23.0,,,M
Yevgeny Anatolyevich Podgorny,Gymnastics,23.0,161.0,56.0,M
Eric Natanael Backman,Athletics,23.0,172.0,64.0,M
Olaf Winter,Canoeing,23.0,189.0,88.0,M
Nils Robert Backlund,Water Polo,23.0,,,M
George Coleman Poage,Athletics,23.0,,,M
Zhang Xi,Beach Volleyball,23.0,183.0,72.0,F
Alexi Singh Grewal,Cycling,23.0,188.0,68.0,M
Marianne St-Gelais,Short Track Speed Skating,23.0,163.0,62.0,F
"James Eugene ""Jim"" Storm",Rowing,23.0,202.0,95.0,M
Per Anders Bckegren,Handball,23.0,192.0,89.0,M
"Charles Edward ""Charlie"" Greene",Athletics,23.0,173.0,69.0,M
Lucija Polavder,Judo,23.0,167.0,88.0,F
"Robert George ""Bob"" Windle",Swimming,23.0,185.0,77.0,M
Chloe Elysha Dalton,Rugby Sevens,23.0,180.0,72.0,F
"Wiliam Robert ""Bill"" Baker",Ice Hockey,23.0,185.0,89.0,M
Henri Pierre Coquelin de Lisle,Shooting,23.0,,,M
George M. Strange,Rowing,23.0,,,M
Gregory Thomas Springer,Rowing,23.0,195.0,98.0,M
"Joseph ""Joe"" Polo",Curling,23.0,175.0,79.0,M
Trendafil Stoychev,Weightlifting,23.0,170.0,82.0,M
Grazielle Pinheiro Guimares Nascimento,Football,23.0,162.0,54.0,F
"David Dennis ""Dave"" Wilson",Swimming,23.0,190.0,85.0,M
Harold Allan Wilson,Athletics,23.0,162.0,52.0,M
Alfredo Jose Antonio Eugenio Porzio,Boxing,23.0,193.0,106.0,M
Bernhard Baier,Water Polo,23.0,,,M
Serik Samatovich Yeleuov,Boxing,23.0,169.0,60.0,M
"Hendrik Jan Willem ""Henk"" Cornelisse",Cycling,23.0,178.0,72.0,M
Shelby Autrie Wilson,Wrestling,23.0,170.0,67.0,M
Armen Yuryevich Bagdasarov,Judo,23.0,190.0,100.0,M
Josef Polig,Alpine Skiing,23.0,168.0,70.0,M
Klaus Baard Baess,Sailing,23.0,,,M
Ellia Green,Rugby Sevens,23.0,172.0,75.0,F
Gabriele Badorek (Soltau-),Handball,23.0,180.0,75.0,F
"Daniel Robert ""Dan"" Greenbaum",Volleyball,23.0,190.0,73.0,M
Aleen May Bailey,Athletics,23.0,170.0,64.0,F
Xavier Barachet,Handball,23.0,195.0,95.0,M
Elvira Poekel (-Borchers),Athletics,23.0,160.0,49.0,F
"Charles Meldrum ""Charlie"" Daniels",Swimming,23.0,183.0,70.0,M
Anton Sergeyevich Golotsutskov,Gymnastics,23.0,165.0,63.0,M
Wolfgang Bartels,Alpine Skiing,23.0,184.0,82.0,M
Libor Prochzka,Ice Hockey,23.0,185.0,85.0,M
John Griffith Davies,Swimming,23.0,,,M
William Louis Barry,Rowing,23.0,188.0,85.0,M
"John Francis ""Jack"" Davies",Ice Hockey,23.0,,,M
"David ""Dave"" Davies",Swimming,23.0,190.0,84.0,M
"Michael Ray ""Mike"" Barrowman",Swimming,23.0,180.0,75.0,M
David Prinosil,Tennis,23.0,184.0,79.0,M
Tove Goltermann Sby (Nielsen-),Canoeing,23.0,,,F
Gong Lijiao,Athletics,23.0,175.0,105.0,F
Yun Yeong-Nae,Volleyball,23.0,170.0,64.0,F
Gong Zhichao,Badminton,23.0,163.0,52.0,F
Tullio Gonnelli,Athletics,23.0,184.0,78.0,M
Tatyana Pavlovna Gonobobleva (Semyonova-),Volleyball,23.0,166.0,55.0,F
Joseph Franois Gonzales,Boxing,23.0,173.0,71.0,M
"Haig ""Harry"" Prieste (Keshishian-)",Diving,23.0,157.0,,M
Arstides Gonzlez Ortiz,Boxing,23.0,186.0,75.0,M
"Lieselotte ""Liesel"" Westermann (-Krieg)",Athletics,23.0,172.0,78.0,F
"Patricia Joan ""Trish"" Davies",Hockey,23.0,157.0,60.0,F
Aleksey Alekseyevich Prokurorov,Cross Country Skiing,23.0,177.0,72.0,M
Walter Werginz,Football,23.0,,,M
"Allan Ruggles ""Al"" Purvis",Ice Hockey,23.0,,,M
"Kenneth Richard ""Ken"" Purpur",Ice Hockey,23.0,170.0,73.0,M
Prevdorjin Serdamba,Boxing,23.0,,48.0,M
Lucy Davis,Equestrianism,23.0,165.0,55.0,F
Andrea Barzagli,Football,23.0,190.0,82.0,M
Stefani Werremeier,Rowing,23.0,183.0,73.0,F
Clas-Axel Wersll,Gymnastics,23.0,,,M
"Kenneth Bryan ""Kenny"" Davis",Basketball,23.0,180.0,82.0,M
Aleksandr Nikolayevich Puchkov,Athletics,23.0,190.0,88.0,M
"Rodney E. ""Rod"" White",Archery,23.0,183.0,78.0,M
Josephine Pucci,Ice Hockey,23.0,173.0,68.0,F
Jos Ernesto Sosa,Football,23.0,179.0,73.0,M
Vladimir Gojkovi,Water Polo,23.0,188.0,92.0,M
Ji Prskavec,Canoeing,23.0,173.0,69.0,M
"Russell Westbrook, Jr.",Basketball,23.0,191.0,85.0,M
Halyna Mykolavna Prozumenshchykova-Stepanova (-Ivannykova),Swimming,23.0,169.0,68.0,F
Charles Henry Bartlett,Cycling,23.0,,,M
Yanina Dislavovna Provalinskaya-Karolchik,Athletics,23.0,187.0,92.0,F
Max Westerkamp,Hockey,23.0,,,M
Wolfgang Barthels,Football,23.0,173.0,71.0,M
Taniele Gofers,Water Polo,23.0,183.0,80.0,F
Marianne Dahlmo (-Breivoll),Cross Country Skiing,23.0,179.0,65.0,F
Luis Oscar Gonzlez,Football,23.0,185.0,75.0,M
Helmuth Nyborg Srensen,Canoeing,23.0,180.0,75.0,M
John Valentine Conroy,Hockey,23.0,,,M
Ernst Theodor Wide,Athletics,23.0,174.0,64.0,M
Sndor Istvn Brdosi,Wrestling,23.0,173.0,85.0,M
Danio Bardi,Water Polo,23.0,180.0,76.0,M
Eugne Louis Constant,Rowing,23.0,,,M
Ashley Spencer,Athletics,23.0,178.0,59.0,F
Silvia Sperber (-Seiderer),Shooting,23.0,157.0,45.0,F
Aleksandr Matveyevich Yelizarov,Biathlon,23.0,,,M
"David Donald ""Dave"" Albritton",Athletics,23.0,191.0,79.0,M
Yury Viktorovich Postrigay,Canoeing,23.0,185.0,81.0,M
Sarah Goss,Rugby Sevens,23.0,176.0,73.0,F
Lyudmila Grigoryevna Postnova,Handball,23.0,183.0,76.0,F
Darren Barber,Rowing,23.0,193.0,98.0,M
Dorothea Wierer,Biathlon,23.0,160.0,57.0,F
Mika Juhani Strmberg,Ice Hockey,23.0,182.0,84.5,M
Raoul Got,Rugby,23.0,165.0,69.0,M
Pawe Baraszkiewicz,Canoeing,23.0,174.0,86.0,M
"Frederick ""Fred"" Spiller",Boxing,23.0,,,M
Sergey Andreyevich Baranov,Volleyball,23.0,208.0,94.0,M
Janina-Kristin Gtz,Swimming,23.0,172.0,60.0,F
Bruno Gtze,Cycling,23.0,,,M
Egil Danielsen,Athletics,23.0,182.0,88.0,M
"Leonard ""Leon"" Spinks, Jr.",Boxing,23.0,183.0,81.0,M
Nigel Chase Barker,Athletics,23.0,,,M
Karina Khavazhevna Goricheva,Weightlifting,23.0,160.0,63.0,F
Ellen Strophal-Streidt (-Wendland-),Athletics,23.0,168.0,55.0,F
Mariano Nicols Gonzlez,Football,23.0,175.0,77.0,M
Diego Daniel Barreto Cceres,Football,23.0,182.0,78.0,M
Shaun Roger White,Snowboarding,23.0,175.0,70.0,M
"Michael Duane ""Mike"" Stulce",Athletics,23.0,191.0,123.0,M
Jette Hejli Srensen (-Larssen),Rowing,23.0,165.0,52.0,F
Josh Prenot,Swimming,23.0,180.0,76.0,M
David Alegre Biosca,Hockey,23.0,184.0,75.0,M
Jrn Srensen,Football,23.0,171.0,71.0,M
Duncan Alexander Goodhew,Swimming,23.0,183.0,80.0,M
Alan John Barrett,Rowing,23.0,,,M
Pavel Valeryevich Datsyuk,Ice Hockey,23.0,180.0,86.0,M
Sren Larsen Srensen,Gymnastics,23.0,,,M
Miroslav Beri,Basketball,23.0,198.0,92.0,M
Sverre Srsdal,Boxing,23.0,,,M
Douglas Cecil Rees Stuart,Rowing,23.0,,71.0,M
"Velvet James ""Jim"" Barnes",Basketball,23.0,201.0,109.0,M
Alastair Gordon,Rowing,23.0,193.0,91.0,M
Lalonde Keida Gordon,Athletics,23.0,179.0,83.0,M
"Arthur ""Art"" Barnard",Athletics,23.0,180.0,77.0,M
Godfrey Whittall,Football,23.0,,,M
"Pauline ""Polly"" Whittier (-Iselin)",Golf,23.0,,,F
Max Antony Whitlock,Gymnastics,23.0,167.0,56.0,M
David Wise,Freestyle Skiing,23.0,183.0,84.0,M
Pavel Ploc,Ski Jumping,23.0,175.0,62.0,M
"Malcolm Edward ""Red"" Wiseman",Basketball,23.0,,,M
Zoran Petrovi,Water Polo,23.0,203.0,98.0,M
"Stephen Phillip ""Steve"" Cummings",Cycling,23.0,190.0,75.0,M
Xu Mengtao,Freestyle Skiing,23.0,165.0,59.0,F
Luigi Arienti,Cycling,23.0,168.0,65.0,M
Anni Steuer (-Ludewig),Athletics,23.0,177.0,67.0,F
Ognyana Georgieva Petrova (-Dusheva),Canoeing,23.0,169.0,67.0,F
Tetiana Ivanivna Stetsenko (-Buniak),Rowing,23.0,187.0,86.0,F
Andrew Steele,Athletics,23.0,182.0,78.0,M
Nikolai Stepulov,Boxing,23.0,,,M
Frank Josef Cuhel,Athletics,23.0,178.0,73.0,M
Fernando Arcega Aperte,Basketball,23.0,204.0,96.0,M
Yury Aleksandrovich Yakimov,Rowing,23.0,186.0,80.0,M
Denis Alekseyevich Petrov,Figure Skating,23.0,182.0,77.0,M
Aleksey Stepanovich Petrov,Cycling,23.0,177.0,76.0,M
Richard Clarke Steere,Fencing,23.0,,,M
Jean-Yves Cuendet,Nordic Combined,23.0,175.0,67.0,M
Flavio Anastasia,Cycling,23.0,188.0,81.0,M
Pedro Petrone Schiavone,Football,23.0,173.0,74.0,M
Alenka Cuderman,Handball,23.0,166.0,59.0,F
Bjrgvin Pll Gustavsson,Handball,23.0,192.0,90.0,M
Zbigniew Gut,Football,23.0,179.0,77.0,M
Jzsef Gurovits,Canoeing,23.0,,,M
Vasyl Albertovych Arkhypenko,Athletics,23.0,178.0,65.0,M
"Heather Joy Armitage (-Young, -McClelland)",Athletics,23.0,171.0,64.0,F
Gyrgy Gurics,Wrestling,23.0,176.0,87.0,M
Stefan Pfannmller,Canoeing,23.0,180.0,75.0,M
Roger Staub,Alpine Skiing,23.0,,,M
Vladimir Ilyich Gundartsev,Biathlon,23.0,178.0,72.0,M
Francisco Esteban Arru Pardo,Football,23.0,169.0,64.0,M
Trude Gundersen (-Lehmann),Taekwondo,23.0,170.0,63.0,F
Sylvain Georges Michel Curinier,Canoeing,23.0,180.0,67.0,M
Ben Cureton,Rowing,23.0,184.0,70.0,M
Raul Arnemann,Rowing,23.0,186.0,82.0,M
"Pieter Adriaan ""Piet"" Gunning",Hockey,23.0,,,M
Wayne Frederick Stephenson,Ice Hockey,23.0,175.0,79.0,M
"William Edwards ""Bill"" Stevenson",Athletics,23.0,183.0,77.0,M
Xiao Hailiang,Diving,23.0,165.0,60.0,M
Rudolf Gnthardt,Equestrianism,23.0,168.0,70.0,M
Guo Li,Synchronized Swimming,23.0,167.0,54.0,F
Xiao Jiangang,Weightlifting,23.0,163.0,67.0,M
Xiao Jun,Shooting,23.0,177.0,70.0,M
"Javier ""Xavi"" Arnau Creus",Hockey,23.0,176.0,76.0,M
Xiao Qin,Gymnastics,23.0,163.0,52.0,M
Brenda Lee Stauffer (-Hoffman),Hockey,23.0,165.0,60.0,F
"Stephen ""Steve"" Cram",Athletics,23.0,186.0,69.0,M
"Elizabeth Mary ""Lizzie"" Armitstead (-Deignan)",Cycling,23.0,168.0,55.0,F
Zhao Lihong,Football,23.0,168.0,55.0,F
Tor Birger Arneberg,Sailing,23.0,183.0,,M
Vladimir Nikolayevich Artyomov,Gymnastics,23.0,167.0,63.0,M
Karin Guthke (-Hrtig),Diving,23.0,164.0,52.0,F
Simion Cuciuc,Canoeing,23.0,177.0,82.0,M
Dirk Crois,Rowing,23.0,184.0,87.0,M
Charles Haberkorn,Tug-Of-War,23.0,,,M
Yelena Petrovna Antonova,Rowing,23.0,180.0,78.0,F
Marcel Hacker,Rowing,23.0,196.0,101.0,M
Grce Zaadi Deuna,Handball,23.0,171.0,66.0,F
Semyon Sergeyevich Antonov,Basketball,23.0,202.0,97.0,M
Pablo Javier Zabaleta Girod,Football,23.0,174.0,74.0,M
Vladyslav Ivanovych Akymenko,Sailing,23.0,192.0,88.0,M
Soraya Haddad,Judo,23.0,155.0,52.0,F
Worapoj Petchkoom,Boxing,23.0,170.0,54.0,M
Herbert Crowther,Cycling,23.0,,,M
Gnther Steines,Athletics,23.0,174.0,64.0,M
Stefan Steinweg,Cycling,23.0,183.0,80.0,M
Uwe Peschel,Cycling,23.0,179.0,72.0,M
Yang Ying,Table Tennis,23.0,165.0,55.0,F
Yang Yu,Swimming,23.0,175.0,68.0,F
"Samuel Thomas ""Sam"" Cross",Rugby Sevens,23.0,191.0,103.0,M
Ryan Crouser,Athletics,23.0,201.0,125.0,M
Tara Lavell Cross-Battle,Volleyball,23.0,182.0,76.0,F
Erich Walter Hagen,Cycling,23.0,174.0,74.0,M
Vladimr Haber,Handball,23.0,179.0,81.0,M
Henrik Stehlik,Trampolining,23.0,175.0,67.0,M
Zali Steggall,Alpine Skiing,23.0,175.0,75.0,F
Didier Cuche,Alpine Skiing,23.0,174.0,89.0,M
Oszkr Csuvik,Water Polo,23.0,,,M
Imre Attila Cssz,Judo,23.0,197.0,125.0,M
Svetlana Anastasovski-Obuina,Handball,23.0,176.0,65.0,F
Hiromi Yamamoto (-Yamanaka),Speed Skating,23.0,161.0,55.0,F
Brice Emmanuel Guyart,Fencing,23.0,186.0,75.0,M
Sergey Anatolyevich Petrenko,Ice Hockey,23.0,183.0,80.0,M
Gwak Dae-Seong,Judo,23.0,,,M
Istvn Csizmadia,Canoeing,23.0,183.0,81.0,M
"Hermann ""Armand"" Apell",Boxing,23.0,,50.0,M
Yan Zi,Tennis,23.0,171.0,55.0,F
Cristiane Rozeira de Souza Silva,Football,23.0,176.0,69.0,F
"Margaret Ann ""Maggie"" Steffens",Water Polo,23.0,173.0,74.0,F
Yavor Dimitrov Yanakiev,Wrestling,23.0,175.0,74.0,M
Dmytro Mykolaiovych Yanchuk,Canoeing,23.0,184.0,75.0,M
Tomislav Crnkovi,Football,23.0,,,M
Dniel Gyurta,Swimming,23.0,185.0,77.0,M
Jzsef Csermely,Rowing,23.0,186.0,86.0,M
Jan Ingemar Stenmark,Alpine Skiing,23.0,181.0,75.0,M
Yang Jeong-Mo,Wrestling,23.0,165.0,62.0,M
"Olga Gyarmati (-Vrkonyi, -Aczl)",Athletics,23.0,166.0,57.0,F
Yun Tae-Il,Handball,23.0,178.0,76.0,M
Ye Huanmin,Weightlifting,23.0,163.0,64.0,M
Michael Wolfgramm,Rowing,23.0,180.0,85.0,M
Stphane Camille Andr Stoecklin,Handball,23.0,185.0,82.0,M
Aleksey Petrovich Aydarov,Biathlon,23.0,187.0,81.0,M
Andreas Gustaf Grnberger,Tug-Of-War,23.0,,,M
Andreas Sthle,Canoeing,23.0,183.0,80.0,M
William Ayache,Football,23.0,176.0,72.0,M
Hennadiy Viktorovych Avramenko,Shooting,23.0,178.0,72.0,M
Giorgio Avola,Fencing,23.0,178.0,72.0,M
Tuomas Oskar Grnman,Ice Hockey,23.0,192.0,95.0,M
George Gordon Avery,Athletics,23.0,,,M
Harvey Jesse Wood,Hockey,23.0,193.0,89.0,M
"Hyla Bristow ""Henry"" Stallard",Athletics,23.0,186.0,75.0,M
Giampiero Pinzi,Football,23.0,176.0,74.0,M
Ove Robert Aunli,Cross Country Skiing,23.0,183.0,75.0,M
Andrija Ankovi,Football,23.0,177.0,79.0,M
"William ""Billy"" Cottrill",Athletics,23.0,167.0,59.0,M
Sabrina D'Angelo,Football,23.0,173.0,71.0,F
Andr Auffray,Cycling,23.0,,,M
Tim Grohmann,Rowing,23.0,194.0,98.0,M
"Nicolae ""Nicu"" Stoian",Volleyball,23.0,195.0,82.0,M
Sigrid Wolf,Alpine Skiing,23.0,172.0,67.0,F
"Reginald Edwin ""Regi"" Witherspoon",Athletics,23.0,178.0,79.0,M
Reinhold Bachler,Ski Jumping,23.0,174.0,70.0,M
David Albelda Aliqus,Football,23.0,182.0,75.0,M
Jochen Bachfeld,Boxing,23.0,172.0,54.0,M
Kjell Storelid,Speed Skating,23.0,175.0,77.0,M
Merel de Witteveen,Sailing,23.0,174.0,64.0,F
"Richard Aldrich ""Rink"" Babka",Athletics,23.0,195.0,121.0,M
Kevin Curtis Dahl,Ice Hockey,23.0,180.0,86.0,M
Kristen Elizabeth Babb-Sprague,Synchronized Swimming,23.0,178.0,58.0,F
Gabriela Grillo,Equestrianism,23.0,178.0,63.0,F
Franklin Standard Johnson,Basketball,23.0,197.0,90.0,M
tienne Dagon,Swimming,23.0,179.0,74.0,M
Martina Grimaldi,Swimming,23.0,172.0,65.0,F
Irina Nikolayevna Yegorova (-Pavlova),Speed Skating,23.0,167.0,65.0,F
"Hayward Alan Roger ""Rod"" Plaxton",Ice Hockey,23.0,,,M
Lars Grini,Ski Jumping,23.0,182.0,78.0,M
Hugh John Plaxton,Ice Hockey,23.0,178.0,84.0,M
Fritz Stolze,Water Polo,23.0,,,M
Zhang Xiangsen,Weightlifting,23.0,151.0,57.0,M
Christiane Stoll-Wartenberg,Athletics,23.0,169.0,53.0,F
Patrick Groc,Fencing,23.0,183.0,78.0,M
Javier Corts Granados,Football,23.0,171.0,70.0,M
Pavel Pavlovich Pinigin,Wrestling,23.0,170.0,68.0,M
Frederick Stapleton,Water Polo,23.0,,,M
Jacek Roman Wszoa,Athletics,23.0,195.0,75.0,M
"Alfred Johan ""Alppo"" Asikainen",Wrestling,23.0,,,M
Jessica Ashwood,Swimming,23.0,173.0,64.0,F
Angela Cutrone,Short Track Speed Skating,23.0,163.0,60.0,F
Wu Hanxiong,Fencing,23.0,188.0,78.0,M
Wu Jingbiao,Weightlifting,23.0,163.0,59.0,M
Erin Victoria Phillips,Basketball,23.0,173.0,70.0,F
Hadi Soua'an Al-Somaily Jaadan,Athletics,23.0,191.0,72.0,M
Anja Stiefel,Ice Hockey,23.0,160.0,60.0,F
Anne Dsane Andersen,Rowing,23.0,183.0,86.0,F
Henrique Carlos Serra Azul Guimares,Judo,23.0,172.0,66.0,M
Alexandre Emmanuel Pharamond,Rugby,23.0,164.0,70.0,M
"Melvin ""Mel"" Stewart (-Monroe)",Swimming,23.0,188.0,83.0,M
Peter Gregory Asch,Water Polo,23.0,188.0,82.0,M
Ragnhild ren Gulbrandsen,Football,23.0,171.0,71.0,F
"Thomas Pelham ""Tom"" Curtis",Athletics,23.0,176.0,66.0,M
Ian Stewart,Athletics,23.0,178.0,65.0,M
An Zhongxin,Softball,23.0,170.0,65.0,F
Kevin Raymond Still,Rowing,23.0,195.0,91.0,M
Demetrius Rashad Pinder,Athletics,23.0,178.0,70.0,M
Marian Jerzy Woronin,Athletics,23.0,181.0,77.0,M
Vitalie Gruac,Boxing,23.0,176.0,72.0,M
Anne Nymark Andersen (-Rylandsholm),Football,23.0,168.0,56.0,F
"James Neil ""Jim"" Atkinson",Bobsleigh,23.0,,,M
Jzef Grzesiak,Boxing,23.0,182.0,75.0,M
Arsen Shakhlamazovich Alakhverdiyev,Wrestling,23.0,154.0,52.0,M
Adil Atan,Wrestling,23.0,190.0,,M
Gu Bon-Gil,Fencing,23.0,182.0,70.0,M
Andrs Nicols D'Alessandro,Football,23.0,170.0,70.0,M
Gordon Vernon Audley,Speed Skating,23.0,,,M
Richard Courtney Stanhope,Rowing,23.0,189.0,84.0,M
Gu Xiao,Synchronized Swimming,23.0,174.0,60.0,F
An Yulong,Short Track Speed Skating,23.0,173.0,70.0,M
"Andrew ""Andy"" Astbury",Swimming,23.0,185.0,81.0,M
Percy Courtman,Swimming,23.0,,,M
"Thomas William ""Tom"" Courtney",Athletics,23.0,188.0,81.0,M
"Tatiana ""Tania"" Guderzo",Cycling,23.0,160.0,55.0,F
Zhang Yawen,Badminton,23.0,162.0,58.0,F
"Alina (Galina-) Astafei (-Stavariu, -Kreiig)",Athletics,23.0,181.0,59.0,F
"Archibald ""Archie"" Stinchcombe",Ice Hockey,23.0,178.0,77.0,M
Megan Leanne Still (-Marcks),Rowing,23.0,182.0,75.0,F
Anatoly Khamidullayevich Asrabayev,Shooting,23.0,,,M
Gu Ja-Cheol,Football,23.0,182.0,83.0,M
Stanislav Nikolayevich Sorokin,Boxing,23.0,157.0,51.0,M
Poul Thymann,Rowing,23.0,,,M
Mary Alice Wayte (-Bradburne),Swimming,23.0,174.0,58.0,F
Miloslav Bednak,Shooting,23.0,175.0,92.0,M
Artrs Garonskis,Rowing,23.0,184.0,90.0,M
Tiit Sokk,Basketball,23.0,192.0,99.0,M
Emma Randall (-McDonald),Basketball,23.0,190.0,83.0,F
Aage Walther,Gymnastics,23.0,,,M
Vladimr Bedn,Ice Hockey,23.0,181.0,80.0,M
"Robert Barry ""Bobby"" Cleary, Sr.",Ice Hockey,23.0,178.0,76.0,M
Casey McGhee Weathers,Baseball,23.0,185.0,99.0,M
Sun Yujie,Fencing,23.0,185.0,78.0,F
Marco Ramstein,Curling,23.0,187.0,81.0,M
"William ""Bill"" Beckman",Wrestling,23.0,,,M
Olga Vladimirovna Yevkova,Basketball,23.0,182.0,75.0,F
Nick Adrian Becker,Volleyball,23.0,193.0,91.0,M
Ellen Becker,Rowing,23.0,180.0,83.0,F
Leonid Grigoryevich Geyshtor,Canoeing,23.0,173.0,61.0,M
Pedro Juan Bentez Domnguez,Football,23.0,190.0,80.0,M
Stanislas Wawrinka,Tennis,23.0,183.0,79.0,M
Daniele Garozzo,Fencing,23.0,177.0,65.0,M
Atanas Ivanov Gerov,Football,23.0,175.0,71.0,M
"Donald Ray ""Don"" Behm",Wrestling,23.0,163.0,57.0,M
Scott Tyler Clary,Swimming,23.0,185.0,84.0,M
Klaus Uuno Suomela (Lindholm-),Gymnastics,23.0,,,M
"Joshua John ""Josh"" Watson",Swimming,23.0,184.0,80.0,M
Leroy Denver Watson,Archery,23.0,175.0,63.0,M
Birgitta Kristina Bengtsson,Sailing,23.0,170.0,61.0,F
Jrgen Lars Sundelin,Sailing,23.0,181.0,70.0,M
Renan Brito Soares,Football,23.0,187.0,86.0,M
Andrija Geri,Volleyball,23.0,203.0,101.0,M
Irina Anatolyevna Beglyakova (-Chelnaya),Athletics,23.0,,,F
Kthe Sohnemann (-Schmidt),Gymnastics,23.0,,,F
Anita Rapp (-degrd),Football,23.0,177.0,64.0,F
ric Renaud,Canoeing,23.0,190.0,85.0,M
Sava Ranelovi,Water Polo,23.0,193.0,98.0,M
Edwin Harold Smith,Diving,23.0,,,M
Mihai Cioc,Judo,23.0,184.0,115.0,M
Norman Cleaveland,Rugby,23.0,,,M
Sun Yue,Volleyball,23.0,186.0,76.0,F
Andr Gardre,Fencing,23.0,182.0,,M
Hubert Gardas,Fencing,23.0,191.0,88.0,M
"Bertie ""Bert"" Solomon",Rugby,23.0,,,M
Csaba Giczy,Canoeing,23.0,179.0,75.0,M
Sun Dandan,Short Track Speed Skating,23.0,162.0,58.0,F
