Name,Sport,Age,Height,Weight,Sex
"Pamela Jean ""Pam"" Bileck (-Flat)",Gymnastics,15.0,153.0,43.0,F
"Melissa Louise Belote (-Hamlin, -Ripley)",Swimming,15.0,171.0,60.0,F
Wang Xin (Ruoxue-),Diving,15.0,137.0,28.0,F
Anne Kindel Warner (-Cribbs),Swimming,15.0,170.0,63.0,F
Roswitha Beier (-Sonntag),Swimming,15.0,160.0,52.0,F
"Lynette Pamela ""Lynne"" Watson (-Bates)",Swimming,15.0,172.0,60.0,F
Ingrid Wendl (-Turkovi),Figure Skating,15.0,,,F
Amy Lee White (-Ballidis),Swimming,15.0,172.0,57.0,F
Gaston Achille Louis Aumoitte,Croquet,15.0,,,M
Olha Volodymyrivna Strazheva,Gymnastics,15.0,152.0,40.0,F
Sharon Marie Stouder (-Clark),Swimming,15.0,173.0,61.0,F
Laura Cutina,Gymnastics,15.0,143.0,36.0,F
Petra Riedel,Swimming,15.0,170.0,63.0,F
Elizabeth Fraser (-Walker),Swimming,15.0,,,F
Francine Anne Fox,Canoeing,15.0,170.0,66.0,F
"Margarete ""Grete"" Rosenberg (-Wildhagen)",Swimming,15.0,,,F
Kyla Briana Ross,Gymnastics,15.0,157.0,45.0,F
"Keena Ruth Rothhammer (-Weisbly, -Zorovich)",Swimming,15.0,175.0,66.0,F
Melita (-Melitta) Ruhn (-Fleischer),Gymnastics,15.0,156.0,42.0,F
Kathleen Russell (-Barlow),Swimming,15.0,,,F
Lynne Marie Allsup (-Olson),Swimming,15.0,163.0,59.0,F
Hilda Marjorie James (-McAllister),Swimming,15.0,,,F
Ingrid Schmidt (-Naue),Swimming,15.0,172.0,60.0,F
Sylvia Eichner,Swimming,15.0,167.0,61.0,F
Michael Beaver Schoettle,Sailing,15.0,,,M
Sybille Schnrock (-Ermisch),Swimming,15.0,167.0,57.0,F
Irina Yuryevna Dzyuba,Rhythmic Gymnastics,15.0,168.0,42.0,F
Tasha Schwikert-Warren,Gymnastics,15.0,,,F
Michelle Hollis Dusserre (-Farrell),Gymnastics,15.0,153.0,41.0,F
Rodica Dunca (-Kszegi),Gymnastics,15.0,158.0,43.0,F
Gabriela Drgoi,Gymnastics,15.0,146.0,37.0,F
"Donald Willis ""Don"" Douglas, Jr.",Sailing,15.0,,,M
Susan Elizabeth Doerr,Swimming,15.0,164.0,50.0,F
"Thomas Bartwell ""Tom"" Doe, Jr.",Bobsleigh,15.0,,,M
Aurelia Dobre (-Mofid),Gymnastics,15.0,146.0,42.0,F
Deena Diane Deardurff (-Schmidt),Swimming,15.0,160.0,53.0,F
Guido De Felip,Rowing,15.0,,,M
Alina Mller,Ice Hockey,15.0,162.0,50.0,F
Faith Yvonne Leech (-Touhy),Swimming,15.0,178.0,,F
Yang Yun,Gymnastics,15.0,158.0,40.0,F
Ingrid Lempereur,Swimming,15.0,164.0,57.0,F
Yuliya Nikolayevna Koltunova,Diving,15.0,156.0,43.0,F
Vivian Laureen Joseph,Figure Skating,15.0,159.0,57.0,F
Alexandra Marinescu,Gymnastics,15.0,146.0,40.0,F
Lu Li,Gymnastics,15.0,136.0,30.0,F
Annegret Kober (-Schrder),Swimming,15.0,180.0,67.0,F
Lu Bin,Swimming,15.0,165.0,53.0,F
Samuel Osei Kuffour,Football,15.0,175.0,75.0,M
Ina Kleber (-Buttgereit),Swimming,15.0,180.0,64.0,F
Phoebe Lan Mills,Gymnastics,15.0,152.0,41.0,F
Yevgeniya Petrovna Kuznetsova,Gymnastics,15.0,143.0,36.0,F
Li Qing,Diving,15.0,160.0,50.0,F
Rta Meilutyt,Swimming,15.0,176.0,75.0,F
Katrin Meiner,Swimming,15.0,187.0,80.0,F
Yuliya Vyacheslavovna Lipnitskaya,Figure Skating,15.0,158.0,,F
Tara Kristen Lipinski (-Kapostasy),Figure Skating,15.0,147.0,36.0,F
Natlija Laonova (-Kravchenko),Gymnastics,15.0,142.0,36.0,F
Louis John Menges,Football,15.0,,,M
Sophie Lamon,Fencing,15.0,173.0,53.0,F
Yasuji Miyazaki,Swimming,15.0,179.0,66.0,M
"Ilze ""Ilsa"" Konrads",Swimming,16.0,172.0,68.0,F
"Evangelia ""Eva"" Khristodoulou",Rhythmic Gymnastics,16.0,163.0,45.0,F
"Judith Anne ""Judy"" Reeder",Swimming,16.0,174.0,57.0,F
Brittany Broben,Diving,16.0,163.0,52.0,F
Maria Georgatou,Rhythmic Gymnastics,16.0,165.0,40.0,F
Dumitria Turner,Gymnastics,16.0,159.0,45.0,F
Agnes Geraghty (-McAndrews),Swimming,16.0,,,F
Martha Irene Randall,Swimming,16.0,165.0,57.0,F
Ute Geweniger (-Strauss),Swimming,16.0,179.0,62.0,F
Nancy Jane Ramey (-Lethcoe),Swimming,16.0,160.0,51.0,F
Courtney Lynn McCool,Gymnastics,16.0,154.0,43.0,F
Mary Lou Retton (-Kelley),Gymnastics,16.0,145.0,42.0,F
Peter Bruch,Swimming,16.0,177.0,65.0,M
Sabine Steinbach (-Klemm),Swimming,16.0,164.0,56.0,F
Andreea Roxana Acatrinei,Gymnastics,16.0,150.0,40.0,F
Manfred Kurt Washington Toeppen,Water Polo,16.0,,,M
Bridget Elizabeth Sloan,Gymnastics,16.0,150.0,47.0,F
Cheryl Ann Gibson (-Brokop),Swimming,16.0,173.0,59.0,F
Raimundas Mauolis,Swimming,16.0,185.0,75.0,M
Diana Laura Bulimar,Gymnastics,16.0,140.0,,F
Alexander Cudmore,Football,16.0,,,M
Peter Askin Reynolds,Swimming,16.0,,,M
Peter James Tonkin,Swimming,16.0,,,M
Andreea Mdlina Rducan,Gymnastics,16.0,148.0,37.0,F
Tatyana Vasilyevna Ananko,Rhythmic Gymnastics,16.0,171.0,52.0,F
Angelina Romanovna Melnikova,Gymnastics,16.0,151.0,44.0,F
Ludvk Vbr,Rowing,16.0,150.0,51.0,M
Daniela Gtz,Swimming,16.0,175.0,60.0,F
Agnieszka Ewa Czopek (-Sadowska),Swimming,16.0,172.0,63.0,F
Ursula Pollack (-Oberstein),Swimming,16.0,,,F
Yuliya Alekseyevna Bogdanova,Swimming,16.0,170.0,66.0,F
Anna Polatou,Rhythmic Gymnastics,16.0,166.0,45.0,F
Yevgeniya Aleksandrovna Bochkaryova,Rhythmic Gymnastics,16.0,160.0,40.0,F
Loredana Boboc,Gymnastics,16.0,139.0,32.0,F
Doina Sticulescu,Rhythmic Gymnastics,16.0,156.0,41.0,F
"Loraine ""Lori"" Melien",Swimming,16.0,168.0,57.0,F
Vyara Vatashka,Rhythmic Gymnastics,16.0,171.0,46.0,F
Carlos de Crdenas Pl,Sailing,16.0,175.0,86.0,M
Charlotte Helen Radcliffe,Swimming,16.0,,,F
Olha Oleksandrivna Kyrychenko (-Pankratova),Swimming,16.0,,,F
Iveta rankov (-Hritzov),Hockey,16.0,164.0,57.0,F
"Molly Ray Botkin (-Rossiter, -Trees)",Swimming,16.0,173.0,61.0,F
"Cornelia ""Corrie"" Ladd (-Voogd, -Bakhuizen)",Swimming,16.0,175.0,,F
Hana Likov,Gymnastics,16.0,165.0,55.0,F
Marina Vladimirovna Koshevaya,Swimming,16.0,167.0,58.0,F
"Regina Constance ""Reggie"" de Jong",Swimming,16.0,168.0,55.0,F
Nataliya Mikhaylovna Goncharova,Diving,16.0,155.0,50.0,F
Tania Lamarca Celada,Rhythmic Gymnastics,16.0,158.0,36.0,F
"Nicoleta Daniela ""Dana"" ofronie",Gymnastics,16.0,146.0,37.0,F
Henri Camille Praux,Rowing,16.0,,,M
Amy Tinkler,Gymnastics,16.0,152.0,47.0,F
Cai Huijue,Swimming,16.0,174.0,63.0,F
Drte Thmmler (Pawlak-),Gymnastics,16.0,151.0,40.0,F
"Carolyn Lynne ""Carrie"" Steinseifer (-Bates)",Swimming,16.0,167.0,57.0,F
Sun Shuwei,Diving,16.0,155.0,45.0,M
Mariya Yevgenyevna Kryuchkova,Gymnastics,16.0,150.0,39.0,F
"Sarah Gillow Marshall ""Cissie"" Stewart (-Hunt)",Swimming,16.0,,,F
Viorica Daniela Siliva (-Harper),Gymnastics,16.0,145.0,38.0,F
Charles Aman,Rowing,16.0,,,M
Anastasiya Nikolayevna Kolesnikova,Gymnastics,16.0,147.0,34.0,F
Marquard J. Schwarz,Swimming,16.0,,,M
Mao Yi,Gymnastics,16.0,151.0,35.0,F
Gertrd Emilia Eberle (-Kollar),Gymnastics,16.0,153.0,40.0,F
Sabina Schulze (-Kessler),Swimming,16.0,180.0,66.0,F
Ecaterina (Katalin-) Szabo (-Tamas),Gymnastics,16.0,145.0,40.0,F
Linsey Tarrel MacDonald,Athletics,16.0,160.0,43.0,F
"Dina Willemina Jacoba ""Nida"" Senff (-Scheffer, -Couturier)",Swimming,16.0,,,F
Konstantin Leonidovich Lukashik,Shooting,16.0,176.0,73.0,M
Yelena Vladimirovna Dolgopolova,Gymnastics,16.0,149.0,38.0,F
Preben Krab,Rowing,16.0,168.0,50.0,M
Carola Dombeck,Gymnastics,16.0,159.0,44.0,F
"Susanne Marie ""Susan"" Shields (-White)",Swimming,16.0,170.0,60.0,F
Maryna Volodymyrivna Yurchenia,Swimming,16.0,165.0,58.0,F
